date,hour,total_profit,avg_profit,attack_count,total_victim_volume
2026-04-17,0,82.32,82.32,1,6991.48
2026-04-17,3,70.56,70.56,1,6930.66
2026-04-17,4,2349.49,2349.49,1,11302.94
2026-04-17,5,6651.27,1662.82,4,26085.1
2026-04-17,6,1642.22,821.11,2,11635.71
2026-04-17,8,38875.89,4319.54,9,458342.86
2026-04-17,9,39245.33,19622.67,2,93096.54
2026-04-17,13,4248.46,472.05,9,259110.48
2026-04-17,14,34587.2,3843.02,9,95153.93
2026-04-17,15,430.2,430.2,1,7431.83
2026-04-17,16,2571.12,1285.56,2,19950.08
2026-04-17,17,5090.0,1018.0,5,49881.32
2026-04-17,18,1863.0,1863.0,1,7009.52
2026-04-17,19,324.67,324.67,1,6075.73
2026-04-17,20,2829.24,1414.62,2,31455.98
2026-04-17,21,325686.99,54281.16,6,79389.76
2026-04-17,22,91.13,91.13,1,5852.46
2026-04-18,0,124.55,124.55,1,5484.61
2026-04-18,1,114.72,114.72,1,5885.65
2026-04-18,2,1021.82,1021.82,1,8127.0
2026-04-18,5,42.63,42.63,1,49985.67
2026-04-18,8,629248.1,104874.68,6,161074.58
2026-04-18,9,16011.53,8005.76,2,40011.8
2026-04-18,10,12569.13,4189.71,3,45084.15
2026-04-18,11,191.49,191.49,1,16379.48
2026-04-18,14,282.97,70.74,4,29177.26
2026-04-18,15,526.16,526.16,1,5986.11
2026-04-18,17,0.17,0.17,1,24014.5
2026-04-18,18,478.21,478.21,1,6719.7
2026-04-18,19,25467.56,3183.44,8,70478.11
2026-04-18,20,10584.47,1764.08,6,45506.19
2026-04-18,21,20129.18,2875.6,7,109650.74
2026-04-18,22,38848.71,3884.87,10,1432299.4
2026-04-18,23,103424.39,51712.2,2,52349.03
2026-04-19,0,1372942.54,228823.76,6,435730.76
2026-04-19,2,383.33,191.67,2,11214.28
2026-04-19,3,178.42,178.42,1,8098.42
2026-04-19,4,77233.98,5516.71,14,211894.53
2026-04-19,5,16992.19,2832.03,6,1025422.88
2026-04-19,6,3684.89,460.61,8,106819.43
2026-04-19,7,50495.41,10099.08,5,189330.42
2026-04-19,8,2025334.76,54738.78,37,5015319.6
2026-04-19,9,463.73,154.58,3,1041643.28
2026-04-19,10,6529.67,435.31,15,2523615.2
2026-04-19,11,1172.91,293.23,4,454839.09
2026-04-19,12,5210.62,1736.87,3,19364.23
2026-04-19,13,312.75,52.12,6,2089741.81
2026-04-19,14,9721.07,1620.18,6,85050.78
2026-04-19,15,4293.37,1073.34,4,48440.55
2026-04-19,16,1620.65,270.11,6,871025.96
2026-04-19,17,105757.96,15108.28,7,120932.26
